id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
algorix-alor,alor,Algorix (ALOR),0.065024,815171,4052,195070572,200059,0.068926,0.04505716,-0.003654956297599335,-5.32184,-47839.633860528935,-5.54334,12536549.82,3000000000.0,3000000000.0,0.285035,-77.19176,2024-12-12T07:42:19.194Z,0.04505716,44.28643,2025-07-11T02:11:38.358Z,2025-07-11T13:52:21.432Z
amber,amb,Ascendia (ex AirDAO),0.00012671,714531,4234,1731827,218507,0.00012813,0.00012545,6.60915e-07,0.52431,2303.07,0.32336,5638898392.0,13667134690.0,,31.4,-99.9996,2017-11-17T00:00:00.000Z,0.00012454,1.58604,2025-07-09T05:25:20.630Z,2025-07-11T13:52:00.481Z
akuma-inu,akuma,Akuma Inu,1.04e-06,702572,4257,702572,88298,1.05e-06,9.31598e-07,6.0147e-08,6.12777,48753,7.4567,666666666666.0,666666666666.0,666666666666.0,0.00134788,-99.9218,2025-01-10T07:50:52.372Z,4.97989e-07,111.65419,2025-06-22T14:29:32.716Z,2025-07-11T13:53:05.724Z
alpha-4,alpha,Alpha,0.00081402,646902,4355,646902,24599,0.00084225,0.00069245,0.00011214,15.97661,90151,16.19228,794243666.286441,794243666.286441,1000000000.0,0.216,-99.62292,2025-02-04T16:06:00.769Z,0.00026588,206.33797,2025-05-31T01:09:08.756Z,2025-07-11T13:52:16.164Z
america-party,ap,America Party,0.00064475,645134,4352,645134,331485,0.000939,0.00061951,-0.000213768623032223,-24.89975,-217109.28849002358,-25.1796,999819202.191991,999819202.191991,1000000000.0,0.02161774,-97.02302,2025-07-05T20:25:14.931Z,0.00061951,3.88082,2025-07-11T12:31:22.581Z,2025-07-11T13:53:17.696Z
amazon-xstock,amznx,Amazon xStock,223.98,594231,4467,1341206,17682489,223.99,220.0,3.63,1.64668,206307,53.18232,2658.24572456,5999.78008395,,1080.7,-79.35819,2025-07-05T08:30:19.729Z,218.54,2.07355,2025-07-08T20:50:38.678Z,2025-07-11T13:52:04.697Z
america-party-2,america,america party,0.00051567,512646,4549,512646,683534,0.0007737,0.00046214,-0.000251593139601179,-32.79092,-264875.78168061917,-34.06667,1000000000.0,1000000000.0,1000000000.0,0.0069473,-92.59028,2025-07-06T14:00:15.800Z,0.00046214,11.38947,2025-07-11T08:55:56.337Z,2025-07-11T13:52:14.501Z
aleph-im-wormhole,aleph,Aleph.im (Wormhole),0.068098,476873,4761,476873,34414,0.069587,0.065158,0.00243071,3.70155,17919.51,3.90443,7002738.89415702,7002738.89415702,,0.4699,-85.46825,2024-03-12T03:25:52.364Z,0.03996276,70.87063,2025-04-07T06:59:02.285Z,2025-07-11T13:51:28.905Z
alfa-romeo-racing-orlen-fan-token,sauber,Alfa Romeo Racing ORLEN Fan Token,0.160749,447835,4821,1607486,212857,0.162135,0.151441,0.0066287,4.301,18396.59,4.28387,2785933.0,10000000.0,,12.92,-98.75263,2021-07-08T10:30:49.209Z,0.15107,6.66896,2025-07-06T10:30:49.595Z,2025-07-11T13:51:57.541Z
alienxchain,aix,AlienXChain,0.0033022,412525,4922,3168189,82726,0.00330474,0.00329943,8.5196e-08,0.00258,-349.7483959600213,-0.08471,125000000.0,960000000.0,1000000000.0,0.04516149,-92.6905,2024-11-12T02:45:11.862Z,0.00104981,214.4449,2025-03-28T07:55:07.901Z,2025-07-11T13:53:01.575Z
amepay,ame,AME Chain,0.00041102,411025,4928,411025,55414,0.00041993,0.00038946,6.86234e-07,0.16724,686.23,0.16724,1000000000.0,1000000000.0,1000000000.0,0.151753,-99.72871,2021-02-24T15:11:22.097Z,0.00029563,39.2613,2025-07-09T05:22:16.352Z,2025-07-11T13:51:12.184Z
america-party-coin,apc,America Party Coin,0.00177923,403177,4953,403177,297350,0.00287575,0.00172722,-0.000944771873734586,-34.68327,-232678.78720461915,-36.59302,220949406.95,220949406.95,1000000000.0,0.01016686,-82.11519,2025-07-07T14:15:02.111Z,0.00172722,5.27455,2025-07-11T11:21:19.033Z,2025-07-11T13:53:17.169Z
alpha-city-2,city,Alpha City,0.00040193,399416,4965,399416,880.98,0.00040468,0.00035737,4.164e-05,11.5562,39118,10.85721,1000000000.0,1000000000.0,1000000000.0,0.00095332,-57.8922,2025-06-11T05:30:43.657Z,9.735e-05,312.36602,2025-05-27T17:37:50.798Z,2025-07-11T13:52:32.784Z
alpha-3,alpha,Reject Modernity,0.00038166,379174,5047,379174,25798,0.00038361,0.00028614,6.865e-05,21.9334,67696,21.73367,999476965.90616,999476965.90616,1000000000.0,0.01220404,-96.87088,2024-11-09T20:49:09.102Z,0.00011882,221.39178,2025-04-09T15:35:33.723Z,2025-07-11T13:52:48.852Z
algotrade,algt,AlgoTrade,0.00396313,355717,5131,395241,13109.5,0.00525096,0.00393807,-0.000989941387212714,-19.98642,-89966.6181754914,-20.1862,90000000.0,100000000.0,100000000.0,0.01476287,-73.16893,2024-12-03T04:55:36.309Z,0.00063099,527.75082,2025-04-07T07:05:00.528Z,2025-07-11T13:53:08.169Z
alpha-synbo-meme,asm,Alpha Synbo Meme,0.01128102,338423,5203,338423,236.11,0.01173617,0.01099655,-0.000374495607087518,-3.21303,-11215.869683751604,-3.20785,30000000.0,30000000.0,30000000.0,0.200214,-94.36563,2025-04-05T12:25:01.391Z,0.00964757,16.92853,2025-07-06T05:26:42.900Z,2025-07-11T13:49:44.252Z
alvey-chain,walv,Alvey Chain,0.0026723,311944,5303,406889,106076,0.00267387,0.00253926,0.00012936,5.08695,16575.96,5.61197,116771480.36313438,152312732.0,160000000.0,0.18533,-98.55898,2022-08-26T14:50:45.996Z,0.00227494,17.39427,2025-06-30T15:09:15.691Z,2025-07-11T13:51:58.492Z
alpha-base-index,abx,Alpha Base Index,0.00179574,286864,5410,286864,25417,0.00188017,0.00169685,9.281e-05,5.45014,21897,8.26397,160010089.4395926,160010089.4395926,,0.00242845,-26.06793,2025-06-11T17:34:08.232Z,0.00049729,261.04,2025-04-07T08:01:00.843Z,2025-07-11T13:51:40.060Z
all-your-base-2,ayb,All Your Base,1.28191e-07,254575,5556,254575,145.63,1.29694e-07,1.16643e-07,1.0158e-08,8.60581,19392.13,8.24555,1990000000000.0,1990000000000.0,1990000000000.0,5.44e-06,-97.65052,2024-03-30T04:38:55.959Z,5.737e-08,122.95954,2025-04-24T11:54:54.967Z,2025-07-11T13:52:35.278Z
america-pac,pac,America Pac,0.00047159,200294,5860,200294,1479.39,0.00048065,0.00043805,5.46e-06,1.17176,1824.23,0.91915,425873799.45302796,425873799.45302796,470000000.0,0.03728808,-98.73595,2024-10-08T11:40:12.913Z,0.00012475,277.83338,2025-04-22T00:54:36.483Z,2025-07-11T13:53:06.168Z
